epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,359.559,1.26456,2.36964,1.79725,1.21633,0.56933,0.46035,0.49373,0.2859,0.52998,0.40942,0.41273,0.26163,2.00726,3.47712,2.86453,2.00593,0.00104721,0.00104721,0.00104721
31,371.43,1.26833,2.41274,1.81076,1.20058,0.5121,0.46232,0.49202,0.31863,0.4691,0.42863,0.423,0.2863,1.88242,3.69867,2.79814,1.76474,0.00104501,0.00104501,0.00104501
32,383.468,1.2341,2.31668,1.76983,1.19106,0.59464,0.48195,0.53978,0.34501,0.53968,0.46461,0.48997,0.28032,1.88881,3.56572,2.81271,1.74784,0.00104281,0.00104281,0.00104281
33,397.009,1.232,2.29005,1.72057,1.18568,0.60004,0.48736,0.53191,0.34183,0.42853,0.51684,0.46982,0.31021,1.79539,3.40273,2.84292,1.69715,0.00104061,0.00104061,0.00104061
34,410.898,1.20084,2.29016,1.68401,1.17073,0.56852,0.48673,0.54386,0.36409,0.54053,0.46744,0.4999,0.33237,1.84921,3.50322,2.62759,1.72741,0.00103841,0.00103841,0.00103841
35,422.976,1.24951,2.30835,1.72281,1.19429,0.54218,0.56916,0.57506,0.38382,0.46722,0.50642,0.49147,0.34403,1.8654,3.59568,2.78156,1.80381,0.00103621,0.00103621,0.00103621
36,435.573,1.18217,2.24214,1.64426,1.16139,0.55702,0.46916,0.50911,0.32191,0.50913,0.44054,0.4336,0.27978,1.95718,3.86626,2.89107,1.83655,0.00103401,0.00103401,0.00103401
37,447.118,1.19151,2.27922,1.66493,1.16425,0.56221,0.52725,0.56081,0.37352,0.51148,0.50282,0.50564,0.30991,1.74388,3.45993,2.72484,1.61716,0.00103182,0.00103182,0.00103182
38,457.887,1.13577,2.19293,1.63021,1.15365,0.37331,0.48868,0.39865,0.23159,0.31371,0.41605,0.32986,0.19904,2.16518,3.95988,3.07112,2.04205,0.00102962,0.00102962,0.00102962
39,469.028,1.14016,2.18345,1.58322,1.12438,0.4506,0.52888,0.49932,0.32081,0.44025,0.47638,0.43386,0.26947,1.93802,3.88212,2.94784,1.83367,0.00102742,0.00102742,0.00102742
40,479.984,1.16395,2.17878,1.59647,1.12981,0.50577,0.45197,0.48822,0.31745,0.47469,0.42237,0.43204,0.26727,2.00209,3.72157,3.12363,1.9064,0.00102522,0.00102522,0.00102522
41,491.808,1.12011,2.18788,1.53916,1.12166,0.51419,0.5022,0.53408,0.33542,0.59938,0.44888,0.48793,0.29503,1.84631,3.51441,2.66101,1.74455,0.00102302,0.00102302,0.00102302
42,503.729,1.16314,2.17806,1.58858,1.14121,0.54321,0.48173,0.52971,0.3402,0.65821,0.36204,0.46072,0.29999,1.83365,3.4729,2.7533,1.72193,0.00102082,0.00102082,0.00102082
43,517.988,1.11578,2.10332,1.48383,1.12265,0.57566,0.54287,0.56591,0.35937,0.83437,0.42558,0.51912,0.31085,1.90581,3.49605,2.62548,1.75945,0.00101862,0.00101862,0.00101862
44,531.252,1.14332,2.14304,1.47376,1.11999,0.58169,0.48953,0.52117,0.36071,0.52497,0.45129,0.44957,0.29662,1.85233,3.79768,2.82609,1.70238,0.00101642,0.00101642,0.00101642
45,542.911,1.10877,2.18223,1.44452,1.09655,0.65422,0.56407,0.57151,0.38098,0.59901,0.505,0.51569,0.3254,1.86344,3.65533,2.74126,1.71861,0.00101422,0.00101422,0.00101422
